State,Action,Value
"((1, 0, 0), (-1, -1, 1), (1, 1, -1))","(0, 1)",0.4999999999999998
"((1, 0, 0), (-1, 0, 1), (0, 1, -1))","(1, 1)",0.1376337145770337
"((0, 0, 0), (0, 0, 1), (0, 1, -1))","(1, 0)",0.038278074914074006
"((0, 0, 0), (0, 0, 1), (0, 0, 0))","(2, 2)",0.3636625477486923
"((1, -1, -1), (0, 0, 0), (1, 0, 0))","(1, 0)",0.9999999999998751
"((1, 0, -1), (0, 0, 0), (0, 0, 0))","(2, 0)",0.7018224674857954
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(0, 0)",0.3281151478684074
"((1, 0, -1), (0, 0, 0), (1, 0, 0))","(0, 1)",-0.44490277256651267
"((1, 0, 0), (0, 0, 0), (0, 0, 0))","(0, 2)",-0.38337297061519326
"((1, 0, 0), (0, -1, 1), (-1, 1, -1))","(0, 1)",-0.9895086003425833
"((1, 0, 0), (0, -1, 1), (0, 0, -1))","(2, 1)",0.08463753240037436
"((1, 0, 0), (0, -1, 0), (0, 0, 0))","(1, 2)",0.3645149929813923
"((1, 1, 0), (0, -1, 1), (-1, 1, -1))","(0, 2)",0.9966186080864774
"((1, 0, 0), (0, -1, 1), (0, 1, -1))","(2, 0)",0.4347946742411817
"((1, 0, 0), (0, -1, 1), (0, 0, 0))","(2, 2)",0.40109541478695815
"((1, 0, 0), (0, 0, 0), (0, 0, 0))","(1, 1)",0.37017171572024254
"((0, 1, -1), (0, 0, -1), (-1, 1, 1))","(1, 1)",0.46855900000000006
"((0, 1, -1), (0, 0, -1), (0, 0, 1))","(2, 1)",0.009000000000000001
"((0, 0, 0), (0, 0, -1), (0, 0, 1))","(0, 1)",0.17447008151815072
"((0, 1, -1), (0, 0, -1), (0, 1, 1))","(2, 0)",-0.1
"((0, 1, 0), (0, 0, -1), (0, 0, 1))","(0, 2)",0.11140254737926109
"((0, 1, -1), (-1, 0, -1), (0, 1, 1))","(1, 1)",0.1
"((0, 1, -1), (0, 0, -1), (0, 1, 0))","(2, 2)",0.07619427900000002
"((0, 1, -1), (0, 0, 0), (0, 0, 0))","(2, 1)",0.05886583999832308
"((0, 1, -1), (0, 0, -1), (0, 1, 1))","(1, 0)",-0.2121931
"((0, 1, -1), (0, 0, 0), (0, 1, 0))","(1, 2)",-0.313569796030987
"((1, -1, -1), (1, -1, 1), (0, 1, -1))","(2, 0)",0.9690968456173674
"((0, -1, -1), (1, -1, 1), (0, 1, 0))","(0, 0)",0.03560382744846399
"((0, 0, -1), (1, -1, 0), (0, 1, 0))","(1, 2)",-0.3124918231958717
"((0, 0, 0), (1, -1, 0), (0, 0, 0))","(2, 1)",0.3645470062836121
"((1, -1, -1), (1, -1, 1), (0, 1, 0))","(2, 2)",-0.68618940391
"((0, 0, -1), (1, -1, 1), (0, 1, 0))","(0, 1)",0.30880524445724705
"((0, 0, 0), (1, -1, 0), (0, 1, 0))","(0, 2)",0.005064095153847412
"((0, 0, 0), (1, 0, 0), (0, 0, 0))","(1, 1)",0.37581436711042226
"((0, 0, -1), (1, -1, 0), (1, 1, -1))","(1, 2)",-0.24869231226338154
"((0, 0, 0), (1, -1, 0), (0, 1, -1))","(2, 0)",-0.4216801444301678
"((0, 0, 0), (0, 0, 0), (0, 1, -1))","(1, 0)",0.17890280741414702
"((0, 0, -1), (1, -1, 1), (1, 1, -1))","(0, 0)",0.9721871610556306
"((0, 0, 0), (1, -1, 0), (1, 1, -1))","(0, 2)",-0.4832118138434961
"((0, 0, 0), (1, 0, 0), (0, 1, -1))","(1, 1)",0.668558577384206
"((0, 0, 0), (0, 0, 0), (0, 1, 0))","(2, 2)",0.36453338732164353
"((0, 1, 1), (1, -1, -1), (-1, 1, -1))","(0, 0)",0.9618479575523055
"((0, 1, 0), (1, -1, -1), (0, 1, -1))","(0, 2)",-0.21398358938441714
"((0, 1, 0), (1, 0, -1), (0, 0, -1))","(2, 1)",-0.0083439
"((0, 0, 0), (1, 0, -1), (0, 0, 0))","(0, 1)",0.15022085354805095
"((0, 1, 1), (1, -1, -1), (0, 1, -1))","(2, 0)",-0.6125795110000001
"((0, 1, 0), (1, 0, -1), (0, 1, -1))","(1, 1)",0.10694434171671001
"((0, 1, 0), (1, 0, -1), (0, 0, 0))","(2, 2)",0.14164958030760694
"((1, 1, -1), (-1, -1, 1), (0, 0, 0))","(2, 2)",-0.4083060476487947
"((0, 1, -1), (0, -1, 1), (0, 0, 0))","(0, 0)",-0.35177617748829293
"((0, 1, 0), (0, -1, 0), (0, 0, 0))","(1, 2)",0.3575003262776893
"((1, 1, -1), (-1, -1, 1), (0, 0, 1))","(2, 0)",0.9999970936785837
"((1, 1, -1), (0, -1, 1), (0, 0, 0))","(1, 0)",0.5553648028256674
"((0, 1, 0), (0, -1, 1), (0, 0, 0))","(0, 2)",0.4055339044804362
"((0, 1, 0), (0, 0, 0), (0, 0, 0))","(1, 1)",0.36525798611033045
"((1, -1, -1), (0, 0, -1), (1, 1, 0))","(2, 2)",0.68618940391
"((0, -1, -1), (0, 0, 0), (1, 1, 0))","(0, 0)",0.1225924897431977
"((0, 0, -1), (0, 0, 0), (0, 1, 0))","(2, 0)",0.4449557665541439
"((1, -1, -1), (0, 0, 0), (1, 1, 0))","(1, 2)",-0.28385295364810004
"((0, 0, -1), (0, 0, 0), (1, 1, 0))","(0, 1)",-0.17546494218237046
"((0, 0, 0), (0, 0, 0), (0, 1, 0))","(0, 2)",-0.11148447809712288
"((0, -1, 1), (1, -1, 1), (-1, 0, 0))","(2, 2)",0.5217031000000001
"((0, 0, 0), (1, -1, 1), (-1, 0, 0))","(0, 2)",0.1657907161007697
"((0, 0, 0), (1, 0, 0), (-1, 0, 0))","(1, 2)",0.26471691558948013
"((0, 0, 1), (1, -1, 1), (-1, 0, 0))","(0, 1)",-0.02192052361626308
"((0, 0, 0), (1, 0, 1), (-1, 0, 0))","(1, 1)",0.41717905481813866
"((0, 0, 0), (1, 0, 0), (0, 0, 0))","(2, 0)",0.36354964080765956
"((1, -1, 1), (1, 0, -1), (-1, -1, 1))","(1, 1)",0.8332281830033343
"((1, -1, 1), (1, 0, 0), (-1, -1, 0))","(2, 2)",-0.10173344828328999
"((0, -1, 1), (1, 0, 0), (0, -1, 0))","(0, 0)",-0.14601951000000002
"((0, 0, 0), (1, 0, 0), (0, -1, 0))","(0, 2)",0.2687666453375155
"((1, -1, 1), (1, 0, 0), (-1, -1, 1))","(1, 2)",-0.40951000000000004
"((1, -1, 1), (1, 0, 0), (0, -1, 0))","(2, 0)",0.12661041754503902
"((0, 0, 1), (1, 0, 0), (0, -1, 0))","(0, 1)",0.04837781790000001
"((0, 0, 0), (1, 0, 0), (0, 0, 0))","(2, 1)",-0.27321551326138993
"((0, 1, -1), (0, 0, 0), (0, 1, -1))","(1, 0)",-0.23851
"((0, 1, -1), (1, 0, 0), (0, 1, -1))","(1, 2)",0.40951000000000004
"((0, 1, -1), (0, 0, 0), (0, 1, 0))","(2, 2)",-0.021049810090577353
"((1, -1, -1), (1, -1, 0), (0, 0, 1))","(1, 2)",-0.271
"((1, 0, -1), (0, -1, 0), (0, 0, 1))","(1, 0)",-0.37860697794367226
"((1, 0, -1), (0, 0, 0), (0, 0, 0))","(2, 2)",0.8360901911076429
"((1, -1, -1), (1, -1, 1), (0, 0, 1))","(2, 1)",0.8649148282327008
"((1, 0, -1), (1, -1, 0), (0, 0, 1))","(0, 1)",-0.09906066791999997
"((1, 0, -1), (0, 0, 0), (0, 0, 1))","(1, 1)",-0.5481477681522814
"((-1, -1, 0), (0, 0, 1), (1, 1, -1))","(1, 1)",-0.2483514306472106
"((-1, 0, 0), (0, 0, 1), (0, 1, -1))","(2, 0)",-0.06684895386403494
"((-1, -1, 0), (0, 1, 1), (1, 1, -1))","(0, 2)",0.9282102012308148
"((-1, 0, 0), (0, 0, 1), (1, 1, -1))","(0, 1)",0.27125050299455045
"((0, 0, 0), (0, 0, 1), (0, 1, -1))","(0, 0)",0.040579708789119165
"((-1, 1, 1), (0, 0, -1), (-1, 1, 0))","(1, 1)",0.5695327900000001
"((-1, 1, 1), (0, 0, -1), (0, 0, 0))","(2, 1)",0.008146754142307491
"((-1, 1, 0), (0, 0, 0), (0, 0, 0))","(0, 2)",0.3327918638785173
"((-1, 1, 1), (0, 0, -1), (0, 1, 0))","(2, 0)",-0.321039004609
"((-1, 1, 1), (0, 0, 0), (0, 0, 0))","(1, 2)",0.06721246680685168
"((0, 1, 0), (0, 0, 0), (0, 0, 0))","(0, 0)",0.3493255662773484
"((0, 1, 0), (0, -1, 1), (0, 0, -1))","(2, 1)",-0.8375569603099638
"((0, 0, 0), (0, -1, 1), (0, 0, 0))","(0, 1)",0.36233568077281886
"((0, 1, 0), (0, -1, 1), (0, 1, -1))","(0, 0)",0.9999999999757753
"((0, 1, 0), (0, -1, 1), (0, 0, 0))","(2, 2)",0.40767409424088497
"((0, 0, -1), (1, 0, 0), (-1, 0, 1))","(0, 1)",-0.19915994421339897
"((0, 0, -1), (0, 0, 0), (0, 0, 1))","(1, 0)",0.3496608938873928
"((0, 1, -1), (1, 0, 0), (-1, 0, 1))","(1, 1)",0.7458134171671
"((0, 0, -1), (1, 0, 0), (0, 0, 1))","(2, 0)",0.1468009042956705
"((0, 0, 0), (0, 0, 0), (0, 0, 1))","(0, 2)",-0.5089264813044736
"((0, 0, -1), (0, 1, -1), (0, 0, 1))","(0, 0)",0.46855900000000006
"((0, 0, 0), (0, 1, -1), (0, 0, 0))","(2, 2)",0.29327764822065666
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(1, 1)",0.32811461534801784
"((0, 0, 0), (0, 1, -1), (0, 0, 1))","(0, 2)",-0.249389418889511
"((0, 0, 0), (0, 1, 0), (0, 0, 0))","(1, 2)",-0.6281563009299768
"((0, 1, 0), (0, -1, 1), (-1, 1, -1))","(1, 0)",-0.6125795110000001
"((0, 1, 0), (0, 0, 1), (-1, 0, -1))","(2, 1)",0.0749823791316549
"((0, 0, 0), (0, 0, 1), (-1, 0, 0))","(0, 1)",0.09427952911392053
"((0, 1, 0), (1, -1, 1), (-1, 1, -1))","(0, 2)",0.9993038013908692
"((0, 1, 0), (0, 0, 1), (-1, 1, -1))","(1, 1)",0.4592264766362556
"((0, 1, 0), (0, 0, 1), (-1, 0, 0))","(2, 2)",0.14013521420179
"((0, 0, 0), (0, 0, 1), (0, 0, 0))","(2, 0)",-0.19941273209954813
"((1, 0, 1), (-1, -1, 0), (1, 0, -1))","(2, 1)",-0.8283447053715625
"((1, 0, 0), (-1, -1, 0), (1, 0, 0))","(0, 2)",-0.7088921223166937
"((0, 0, 0), (0, -1, 0), (1, 0, 0))","(0, 0)",0.3645584789403622
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(2, 0)",0.32811515502640254
"((1, 0, 1), (-1, -1, 0), (1, 1, -1))","(1, 2)",0.9999999999980677
"((1, 0, 1), (-1, -1, 0), (1, 0, 0))","(2, 2)",-0.34500373707067156
"((1, 0, 0), (0, -1, 0), (1, 0, 0))","(1, 0)",0.4176017893268203
"((0, 0, 0), (0, 0, 0), (1, 0, 0))","(1, 1)",0.3682006316972058
"((1, -1, -1), (0, 1, 1), (-1, 1, -1))","(1, 0)",0.9797244404095546
"((1, -1, 0), (0, 1, 1), (-1, 0, -1))","(2, 1)",0.11532949807623921
"((1, 0, 0), (0, 0, 1), (-1, 0, -1))","(1, 1)",-0.146807559
"((1, 0, 0), (0, 0, 0), (-1, 0, 0))","(1, 2)",0.27812099879710445
"((1, -1, 0), (0, 1, 1), (-1, 1, -1))","(0, 2)",-0.40951000000000004
"((1, 0, 0), (0, 1, 1), (-1, 0, -1))","(0, 1)",0.1029706981114816
"((1, 0, 0), (0, 0, 1), (-1, 0, 0))","(2, 2)",0.0647433324
"((1, 0, 0), (0, 0, 0), (0, 0, 0))","(2, 0)",-0.3313177181679735
"((0, -1, 1), (0, 0, 0), (1, -1, 0))","(1, 2)",0.02094646977225903
"((0, 0, 0), (0, 0, 0), (1, -1, 0))","(0, 2)",0.7021764356207947
"((0, -1, 1), (0, 0, 1), (1, -1, 0))","(1, 1)",0.40951000000000004
"((0, 0, 1), (0, 0, 0), (1, -1, 0))","(0, 1)",-0.01582208091452078
"((0, 0, 0), (0, 0, 0), (1, 0, 0))","(2, 1)",-0.4730735320283767
"((0, 1, -1), (-1, 0, 1), (-1, 1, 0))","(0, 0)",-0.059049
"((0, 1, -1), (0, 0, 1), (-1, 0, 0))","(2, 1)",-0.29241000000000006
"((1, 1, -1), (-1, 0, 1), (-1, 1, 0))","(1, 1)",0.34390000000000004
"((0, 1, -1), (0, 0, 1), (-1, 1, 0))","(1, 0)",0.11810615039100003
"((0, 1, 0), (0, 0, 1), (-1, 0, 0))","(0, 2)",0.07392103774041603
"((0, 0, 0), (1, -1, 1), (-1, 0, 0))","(2, 1)",-0.35489087287031973
"((0, 0, 0), (0, -1, 1), (0, 0, 0))","(1, 0)",-0.4209975585848547
"((0, 0, 0), (1, -1, 1), (-1, 1, 0))","(0, 2)",0.68618940391
"((0, 0, 0), (1, -1, 1), (0, 0, 0))","(2, 0)",0.37901009219857373
"((1, 0, 0), (0, -1, 0), (1, 0, -1))","(1, 0)",0.9999999999998876
"((1, 0, 0), (0, -1, 0), (0, 0, 0))","(2, 0)",0.364515070105377
"((1, 0, 0), (0, -1, 0), (1, 0, 0))","(2, 2)",-0.8587945428145096
"((0, -1, 1), (1, -1, 1), (0, 0, -1))","(2, 0)",-0.9835767967317393
"((0, -1, 1), (1, -1, 0), (0, 0, 0))","(1, 2)",-0.3845928344476116
"((0, -1, 0), (1, 0, 0), (0, 0, 0))","(0, 2)",0.1283406448945931
"((0, -1, 1), (1, -1, 1), (1, 0, -1))","(2, 1)",0.6513215599000001
"((0, -1, 1), (1, -1, 1), (0, 0, 0))","(2, 2)",0.3755692311026307
"((0, -1, 1), (1, 0, 0), (0, 0, 0))","(1, 1)",0.4045911856807027
"((0, 0, 0), (1, 0, 0), (0, 0, 0))","(0, 1)",-0.23960834040043544
"((-1, 1, 0), (1, 1, 0), (-1, 0, -1))","(2, 1)",0.5695327900000001
"((-1, 1, 0), (0, 1, 0), (-1, 0, 0))","(1, 0)",0.09958424400000003
"((0, 0, 0), (0, 1, 0), (-1, 0, 0))","(0, 1)",0.42866481042915405
"((-1, 1, 0), (1, 1, 0), (-1, 0, 0))","(2, 2)",-0.1
"((0, 1, 0), (0, 1, 0), (-1, 0, 0))","(0, 0)",-0.3477303670698167
"((0, 0, 0), (0, 1, 0), (0, 0, 0))","(2, 0)",0.3590122602960921
"((-1, -1, 1), (1, -1, -1), (1, 1, 0))","(2, 2)",0.9993734212517822
"((-1, -1, 1), (1, 0, -1), (0, 1, 0))","(2, 0)",0.17049863864604423
"((-1, 0, 0), (1, 0, -1), (0, 1, 0))","(0, 2)",0.12399762777555477
"((0, 0, 0), (1, 0, -1), (0, 0, 0))","(2, 1)",0.11332975111527205
"((-1, -1, 1), (1, 0, -1), (1, 1, 0))","(1, 1)",-0.6125795110000001
"((-1, 0, 1), (1, 0, -1), (0, 1, 0))","(0, 1)",0.046218620858355
