State,Action,Value
"((0, 1, 0), (1, -1, -1), (1, -1, 1))","(0, 2)",-0.814697981114816
"((0, 1, 0), (1, 0, -1), (1, -1, 0))","(1, 1)",-0.19
"((0, 1, 0), (0, 0, -1), (1, 0, 0))","(2, 1)",0.005914779217650001
"((0, 1, 0), (0, 0, 0), (0, 0, 0))","(1, 2)",0.21632812527067097
"((1, 0, 0), (1, -1, 1), (-1, 0, -1))","(0, 2)",-0.5259103852572313
"((1, 0, 0), (1, -1, 0), (-1, 0, 0))","(1, 2)",0.07030125651714071
"((0, 0, 0), (1, -1, 0), (0, 0, 0))","(0, 0)",0.21380542640537015
"((1, 0, 1), (1, -1, 1), (-1, 0, -1))","(2, 1)",0.717570463519
"((1, 0, 0), (1, -1, 1), (-1, 0, 0))","(2, 2)",0.009000000000000001
"((1, 0, 0), (1, -1, 0), (0, 0, 0))","(2, 0)",0.42781624827049336
"((0, 0, 0), (1, 0, 0), (0, 0, 0))","(1, 1)",0.17486050065824982
"((-1, 0, 1), (1, 1, 0), (0, -1, -1))","(0, 1)",-0.1
"((-1, 0, 0), (1, 1, 0), (0, 0, -1))","(0, 2)",0.0
"((0, 0, 0), (0, 1, 0), (0, 0, -1))","(1, 0)",0.2511736000175853
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(1, 1)",0.3246405523393554
"((-1, 1, 1), (1, 1, 0), (0, -1, -1))","(2, 0)",0.1
"((-1, 0, 1), (1, 1, 0), (0, 0, -1))","(2, 1)",0.009000000000000001
"((0, 0, 0), (1, 1, 0), (0, 0, -1))","(0, 0)",-0.7660119917134024
"((0, 0, 0), (0, 1, 0), (0, 0, 0))","(2, 2)",0.21024280706099538
"((-1, 1, 0), (0, -1, -1), (0, 1, 1))","(2, 0)",0.5217031000000001
"((0, 0, 0), (0, -1, -1), (0, 1, 1))","(0, 1)",-0.079588
"((0, 0, 0), (0, 0, -1), (0, 0, 1))","(2, 1)",0.019806023398185005
"((0, 1, 0), (0, -1, -1), (0, 1, 1))","(0, 0)",-0.19
"((0, 0, 0), (0, 0, -1), (0, 1, 1))","(1, 1)",-0.07219464561595
"((0, 0, 0), (0, 0, 0), (0, 0, 1))","(1, 2)",0.10000648864320813
"((1, -1, -1), (-1, 0, 0), (1, 1, 0))","(2, 2)",0.94185026299696
"((0, -1, 0), (-1, 0, 0), (1, 1, 0))","(0, 0)",0.04074803100000001
"((1, -1, 0), (-1, 0, 0), (1, 1, 0))","(0, 2)",-0.17695
"((0, -1, 0), (0, 0, 0), (1, 1, 0))","(1, 0)",-0.5768291631241849
"((0, 1, -1), (1, 0, 0), (1, -1, -1))","(1, 1)",-0.13243969
"((0, 0, -1), (1, 0, 0), (1, 0, -1))","(0, 1)",-0.12000069
"((0, 0, -1), (0, 0, 0), (1, 0, 0))","(1, 0)",-0.0311552345038109
"((0, 1, -1), (1, 1, 0), (1, -1, -1))","(1, 2)",0.5217031000000001
"((0, 1, -1), (1, 0, 0), (1, 0, -1))","(2, 1)",-0.04414410000000002
"((0, 0, -1), (1, 0, 0), (1, 0, 0))","(2, 2)",-0.3935939875469586
"((0, 0, 0), (0, 0, 0), (1, 0, 0))","(0, 2)",-0.7798411588956198
"((1, 1, 0), (0, -1, 0), (0, 0, -1))","(0, 2)",0.271
"((1, 0, 0), (0, -1, 0), (0, 0, 0))","(0, 1)",0.11376519452182526
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(0, 0)",0.32802770675624054
"((1, 1, 0), (0, -1, 0), (0, 0, 0))","(2, 2)",-0.271
"((1, 0, 0), (0, 0, 0), (0, 0, 0))","(1, 1)",0.392430263209478
"((-1, 1, -1), (1, -1, 0), (1, -1, 1))","(1, 2)",0.4999999999999998
"((-1, 1, -1), (0, 0, 0), (1, -1, 1))","(1, 0)",0.3196839930301902
"((-1, 1, 0), (0, 0, 0), (0, -1, 1))","(2, 0)",0.006722262900000001
"((0, 0, 0), (0, 0, 0), (0, -1, 1))","(0, 1)",0.005945318818884002
"((-1, 1, -1), (1, 0, 0), (1, -1, 1))","(1, 1)",0.26085155000000004
"((-1, 1, 0), (0, 0, 0), (1, -1, 1))","(0, 2)",0.11642437207816025
"((0, 1, 0), (0, 0, 0), (0, -1, 1))","(0, 0)",0.0007695000000000002
"((-1, 0, 1), (0, -1, -1), (1, 1, 0))","(2, 2)",0.34390000000000004
"((-1, 0, 0), (0, -1, 0), (1, 1, 0))","(0, 2)",-0.16633900000000001
"((-1, 0, 0), (0, 0, 0), (1, 0, 0))","(2, 1)",0.45847204009740894
"((-1, 0, 1), (0, -1, 0), (1, 1, 0))","(1, 2)",-0.1
"((-1, 0, 0), (0, 0, 0), (1, 1, 0))","(1, 1)",-0.45563589605890004
"((0, 0, 0), (0, 0, 0), (1, 0, 0))","(0, 0)",-0.7027057063288108
"((-1, 0, 0), (0, 1, 0), (0, 1, -1))","(0, 1)",0.34390000000000004
"((-1, 0, 0), (0, 0, 0), (0, 1, 0))","(1, 1)",0.020391709202422195
"((-1, 0, 0), (0, 1, 0), (0, 1, 0))","(2, 2)",-0.18027100000000001
"((0, 0, 0), (0, 0, 0), (0, 1, 0))","(0, 0)",-0.0597041304714688
"((-1, 0, 0), (1, 0, -1), (1, 1, -1))","(1, 1)",-0.1
"((-1, 0, 0), (0, 0, 0), (1, 1, -1))","(1, 0)",-0.19
"((0, 0, 0), (0, 0, 0), (1, 0, -1))","(2, 1)",0.18261287208338375
"((-1, 0, 0), (1, 1, -1), (1, 1, -1))","(0, 2)",0.19
"((-1, 0, 0), (1, 0, 0), (1, 1, -1))","(1, 2)",0.06609690000000001
"((0, 0, 0), (0, 0, 0), (1, 1, -1))","(0, 0)",0.0007290000000000002
"((0, 0, 0), (0, 0, 0), (1, 0, 0))","(2, 2)",-0.7538874581457169
"((-1, -1, 1), (1, 1, -1), (-1, 0, 1))","(2, 1)",0.4887358002275304
"((-1, -1, 1), (1, 0, 0), (-1, 0, 1))","(1, 1)",0.0045000000000000005
"((-1, -1, 0), (1, 0, 0), (0, 0, 1))","(0, 2)",0.009364500000000001
"((-1, 0, 0), (1, 0, 0), (0, 0, 0))","(2, 2)",0.013864970569783084
"((-1, -1, 1), (1, 1, 0), (-1, 0, 1))","(1, 2)",0.23427950000000003
"((-1, -1, 1), (1, 0, 0), (0, 0, 1))","(2, 0)",0.0045000000000000005
"((-1, 0, 0), (1, 0, 0), (0, 0, 1))","(0, 1)",0.0036669105000000004
"((0, 0, 0), (1, 0, 0), (0, 0, 0))","(0, 0)",0.09437041169680749
"((0, 1, -1), (1, 1, -1), (-1, -1, 1))","(0, 0)",0.40951000000000004
"((0, 1, 0), (1, 1, -1), (-1, -1, 0))","(2, 2)",0.009000000000000001
"((0, 0, 0), (1, 1, -1), (0, -1, 0))","(0, 1)",0.0008100000000000002
"((0, 0, 0), (0, 1, -1), (0, 0, 0))","(1, 0)",0.019240248953331443
"((0, 1, 0), (1, 1, -1), (-1, -1, 1))","(0, 2)",-0.1
"((0, 1, 0), (1, 1, -1), (0, -1, 0))","(2, 0)",0.0
"((0, 0, 0), (1, 1, -1), (0, 0, 0))","(2, 1)",0.0014256000000000002
"((0, 0, 0), (0, 1, 0), (0, 0, 0))","(1, 2)",0.11083268625459983
"((-1, 1, 0), (-1, 0, 0), (0, 1, 0))","(1, 1)",0.7712320754503901
"((0, 0, 0), (-1, 0, 0), (0, 1, 0))","(0, 1)",0.074919133385055
"((0, 1, 0), (-1, 0, 0), (0, 1, 0))","(0, 0)",-0.10546669
"((0, 0, 0), (0, 0, 0), (0, 1, 0))","(1, 0)",-0.2601046237909732
"((1, 1, -1), (0, -1, -1), (1, -1, 1))","(1, 0)",0.9618479575523055
"((1, 0, -1), (0, -1, 0), (1, -1, 1))","(0, 1)",0.25206861234204686
"((0, 0, -1), (0, 0, 0), (1, -1, 1))","(0, 0)",0.7061235785749185
"((0, 0, 0), (0, 0, 0), (1, -1, 0))","(2, 2)",0.3011566456659767
"((1, 1, -1), (0, -1, 0), (1, -1, 1))","(1, 2)",-0.8499053647030009
"((1, 0, -1), (0, 0, 0), (1, -1, 1))","(1, 1)",-0.5964336555391878
"((0, 0, 0), (0, 0, 0), (1, -1, 1))","(0, 2)",-0.027022361357102266
"((0, 0, 0), (0, 0, 0), (1, 0, 0))","(2, 1)",-0.7635020610897063
"((1, -1, 1), (-1, 1, -1), (0, 1, -1))","(2, 0)",0.5695327900000001
"((0, -1, 1), (0, 1, -1), (0, 1, -1))","(0, 0)",0.025200000000000004
"((0, 0, 0), (0, 1, -1), (0, 1, -1))","(0, 2)",0.033135813
"((0, 0, 0), (0, 0, -1), (0, 1, 0))","(1, 1)",0.05100710128269572
"((1, -1, 1), (0, 1, -1), (0, 1, -1))","(1, 0)",-0.46855900000000006
"((0, 0, 1), (0, 1, -1), (0, 1, -1))","(0, 1)",0.008550000000000002
"((0, 0, 0), (0, 1, -1), (0, 1, 0))","(2, 2)",-0.09838891000000001
"((-1, -1, 0), (-1, 1, 0), (1, 1, 0))","(1, 2)",-0.16561000000000003
"((-1, -1, 0), (0, 0, 0), (1, 1, 0))","(1, 1)",-0.264439
"((0, -1, 0), (0, 0, 0), (0, 1, 0))","(2, 0)",0.281144980889744
"((-1, -1, 0), (-1, 1, 1), (1, 1, 0))","(0, 2)",0.271
"((-1, -1, 0), (0, 1, 0), (1, 1, 0))","(1, 0)",0.009000000000000001
"((0, 0, 0), (0, 0, 0), (0, 1, 0))","(0, 1)",0.07300642513705205
"((1, 1, 0), (-1, 1, -1), (1, -1, -1))","(0, 2)",0.6513215599000001
"((1, 0, 0), (0, 1, -1), (1, -1, -1))","(0, 1)",-0.2526292
"((0, 0, 0), (0, 1, -1), (1, -1, 0))","(0, 0)",0.0191412
"((0, 0, 0), (0, 0, 0), (1, -1, 0))","(1, 1)",0.23319221692583866
"((1, 1, 0), (0, 1, -1), (1, -1, -1))","(1, 0)",-0.34390000000000004
"((1, 0, 0), (0, 1, -1), (1, -1, 0))","(2, 2)",-0.1
"((0, 0, 0), (0, 1, 0), (1, -1, 0))","(1, 2)",-0.222441992902
"((0, 1, -1), (-1, -1, 0), (1, 1, 0))","(2, 2)",0.40951000000000004
"((0, 0, 0), (-1, -1, 0), (1, 1, 0))","(0, 1)",-0.16958800000000002
"((0, 0, 0), (-1, 0, 0), (1, 0, 0))","(2, 1)",0.8076915444616313
"((0, 1, 0), (-1, -1, 0), (1, 1, 0))","(0, 2)",-0.271
"((0, 0, 0), (-1, 0, 0), (1, 1, 0))","(1, 1)",-0.8514276920294342
"((0, 0, 0), (0, 0, 0), (1, 0, 0))","(1, 0)",-0.7149256121468937
"((1, 1, -1), (-1, 1, 0), (1, -1, -1))","(1, 2)",0.4956360182159561
"((0, 1, -1), (-1, 1, 0), (1, 0, -1))","(0, 0)",0.1052000068750038
"((0, 1, 0), (-1, 0, 0), (1, 0, -1))","(1, 1)",0.024754500000000006
"((0, 1, 0), (-1, 0, 0), (0, 0, 0))","(2, 0)",0.00016803450000000002
"((1, 1, -1), (-1, 1, 0), (1, 0, -1))","(2, 1)",0.37290670858355
"((0, 1, 0), (-1, 1, 0), (1, 0, -1))","(0, 2)",-0.09595
"((0, 1, 0), (-1, 0, 0), (1, 0, 0))","(2, 2)",0.011073385848908195
"((0, 1, 0), (0, 0, 0), (0, 0, 0))","(1, 0)",0.02972038736673139
"((1, 1, -1), (0, 0, -1), (-1, 0, 1))","(1, 1)",0.1
"((1, 1, -1), (0, 0, -1), (0, 0, 0))","(2, 2)",0.0050049
"((0, 1, -1), (0, 0, 0), (0, 0, 0))","(0, 0)",0.013347198424876404
"((1, 1, -1), (0, 0, -1), (0, 0, 1))","(2, 0)",-0.1
"((1, 1, -1), (0, 0, 0), (0, 0, 0))","(1, 2)",0.0021951000000000006
"((1, 1, -1), (-1, 1, 0), (-1, 0, 0))","(2, 1)",0.271
"((1, 0, -1), (0, 1, 0), (-1, 0, 0))","(0, 1)",0.009000000000000001
"((1, 0, 0), (0, 0, 0), (-1, 0, 0))","(1, 1)",0.018812421000000003
"((1, 1, -1), (0, 1, 0), (-1, 0, 0))","(1, 0)",-0.19
"((1, 0, 0), (0, 1, 0), (-1, 0, 0))","(0, 2)",-0.1
"((1, 0, 0), (0, 0, 0), (0, 0, 0))","(2, 0)",0.02545113247168544
"((1, 0, 0), (0, 0, -1), (-1, 0, 1))","(1, 1)",0.40951000000000004
"((1, 0, 0), (0, 0, 0), (-1, 0, 0))","(2, 2)",0.12452294392364407
"((1, 0, 0), (0, 0, 0), (-1, 0, 1))","(1, 2)",-0.32948803449999997
"((1, 0, 1), (1, -1, -1), (-1, -1, 1))","(0, 1)",0.40951000000000004
"((0, 0, 1), (1, -1, 0), (-1, -1, 1))","(0, 0)",0.009000000000000001
"((0, 0, 1), (0, -1, 0), (0, -1, 1))","(1, 0)",0.016752457872015007
"((0, 0, 0), (0, 0, 0), (0, -1, 1))","(0, 2)",0.009639166576500002
"((1, 0, 1), (1, -1, 0), (-1, -1, 1))","(1, 2)",-0.19
"((0, 0, 1), (1, -1, 0), (0, -1, 1))","(2, 0)",0.0
"((0, 0, 1), (0, 0, 0), (0, -1, 1))","(1, 1)",-0.027486796969589
"((-1, 0, 0), (0, 1, 1), (0, 0, -1))","(1, 0)",0.34390000000000004
"((-1, 0, 0), (0, 0, 1), (0, 0, 0))","(1, 1)",0.024390000000000005
"((-1, 0, 0), (0, 1, 1), (0, 0, 0))","(2, 2)",-0.2629
"((0, 0, 0), (0, 0, 1), (0, 0, 0))","(0, 0)",0.060443071675739715
"((-1, -1, 1), (1, 1, -1), (0, 1, -1))","(2, 0)",0.6513215599000001
"((0, -1, 1), (1, 1, -1), (0, 0, -1))","(2, 1)",0.39071643548311713
"((0, 0, 1), (1, 0, -1), (0, 0, -1))","(1, 1)",0.01848464870137245
"((0, 0, 1), (0, 0, -1), (0, 0, 0))","(1, 0)",0.005226223796640001
"((0, -1, 1), (1, 1, -1), (0, 1, -1))","(0, 0)",-0.46855900000000006
"((0, 0, 1), (1, 1, -1), (0, 0, -1))","(0, 1)",0.26780608991560506
"((0, 0, 1), (1, 0, -1), (0, 0, 0))","(2, 2)",0.0
"((0, 0, 1), (0, 0, 0), (0, 0, 0))","(1, 2)",0.18201256224860723
"((-1, 0, 0), (1, 1, 0), (-1, 1, -1))","(0, 1)",0.1
"((-1, 0, 0), (0, 1, 0), (-1, 1, 0))","(1, 0)",0.009639000000000002
"((-1, 0, 0), (1, 1, 0), (-1, 1, 0))","(2, 2)",-0.1
"((-1, 0, 0), (0, 1, 0), (0, 1, 0))","(2, 0)",0.0036815310000000013
"((1, -1, 1), (-1, 1, 0), (-1, 1, -1))","(1, 2)",0.17195000000000002
"((1, -1, 1), (-1, 0, 0), (-1, 1, 0))","(1, 1)",0.0045000000000000005
"((1, 0, 0), (-1, 0, 0), (-1, 1, 0))","(0, 2)",0.0004050000000000001
"((1, 0, 0), (0, 0, 0), (-1, 0, 0))","(2, 1)",0.004235200493323501
"((1, -1, 1), (-1, 1, 0), (-1, 1, 0))","(2, 2)",0.095
"((1, 0, 1), (-1, 0, 0), (-1, 1, 0))","(0, 1)",0.0045000000000000005
"((1, 0, 0), (0, 0, 0), (-1, 1, 0))","(1, 0)",0.0003280500000000001
"((1, 0, -1), (0, 1, 1), (-1, -1, 0))","(0, 1)",-0.059049
"((0, 0, 0), (0, 1, 1), (-1, -1, 0))","(0, 0)",-0.18270999999999998
"((0, 0, 0), (0, 0, 1), (0, -1, 0))","(1, 1)",0.011541690000000002
"((1, 1, -1), (0, 1, 1), (-1, -1, 0))","(2, 2)",0.19
"((1, 0, 0), (0, 1, 1), (-1, -1, 0))","(0, 2)",0.017100000000000004
"((0, 0, 0), (0, 1, 1), (0, -1, 0))","(2, 0)",-0.040629509999999994
"((0, 0, 0), (0, 0, 1), (0, 0, 0))","(2, 1)",0.04406783702985604
"((0, 0, 1), (-1, 1, -1), (-1, 1, 0))","(0, 1)",0.19
"((0, 0, 1), (0, 0, -1), (-1, 1, 0))","(1, 1)",0.017100000000000004
"((0, 0, 0), (0, 0, 0), (-1, 1, 0))","(0, 2)",0.0037824576369109657
"((0, 0, 1), (0, 1, -1), (-1, 1, 0))","(1, 0)",-0.1
"((0, 0, 1), (0, 0, 0), (-1, 1, 0))","(1, 2)",0.0
"((0, 0, 0), (0, 0, 0), (0, 1, 0))","(2, 0)",0.04141484669028719
"((1, -1, -1), (-1, 0, 1), (-1, 1, 1))","(1, 1)",0.6125795110000001
"((1, -1, 0), (-1, 0, 0), (-1, 1, 1))","(1, 2)",0.08049895110000002
"((0, -1, 0), (-1, 0, 0), (0, 1, 1))","(0, 0)",0.0008100000000000002
"((0, 0, 0), (-1, 0, 0), (0, 0, 1))","(2, 1)",0.023622166890000004
"((1, -1, 0), (-1, 0, 1), (-1, 1, 1))","(0, 2)",-0.34390000000000004
"((1, -1, 0), (-1, 0, 0), (0, 1, 1))","(2, 0)",0.0
"((0, 0, 0), (-1, 0, 0), (0, 1, 1))","(0, 1)",0.0
"((0, 0, 0), (0, 0, 0), (0, 0, 1))","(1, 0)",-0.17881778150420297
"((-1, 0, -1), (-1, 1, 0), (1, 1, 0))","(0, 1)",0.717570463519
"((-1, 0, 0), (-1, 0, 0), (1, 1, 0))","(1, 1)",0.15587146978200003
"((-1, 0, 0), (-1, 1, 0), (1, 1, 0))","(0, 2)",-0.14782969
"((0, 0, 0), (-1, 0, 0), (1, 1, 0))","(0, 0)",-0.8544996542457173
"((1, -1, -1), (1, -1, 1), (0, 1, -1))","(2, 0)",0.7458134171671
"((1, -1, -1), (0, 0, 1), (0, 1, -1))","(1, 0)",0.009000000000000001
"((0, -1, -1), (0, 0, 1), (0, 1, 0))","(0, 0)",0.003902497019550001
"((0, 0, -1), (0, 0, 0), (0, 1, 0))","(1, 2)",0.02272162690012039
"((1, -1, -1), (1, 0, 1), (0, 1, -1))","(1, 1)",-0.271
"((1, -1, -1), (0, 0, 1), (0, 1, 0))","(2, 2)",0.0
"((0, 0, -1), (0, 0, 1), (0, 1, 0))","(0, 1)",0.00919755
"((0, 0, 0), (0, 0, 0), (0, 1, 0))","(0, 2)",0.04880524956548719
"((-1, 1, -1), (0, -1, 1), (1, -1, 1))","(1, 0)",0.498767482647521
"((-1, 1, 0), (0, -1, 0), (1, -1, 1))","(1, 2)",0.3271563186518584
"((0, 1, 0), (0, 0, 0), (0, -1, 0))","(2, 2)",0.0043726792998600005
"((-1, 1, 0), (0, -1, 1), (1, -1, 1))","(0, 2)",0.4507614548908195
"((-1, 1, 0), (0, 0, 0), (1, -1, 1))","(1, 1)",0.1135956298788657
"((0, 1, 0), (0, 0, 0), (0, 0, 0))","(2, 1)",0.02997286228919164
"((-1, 1, -1), (1, 1, 0), (0, -1, 0))","(1, 2)",0.34390000000000004
"((-1, 1, -1), (0, 1, 0), (0, 0, 0))","(1, 0)",0.032490000000000005
"((0, 1, -1), (0, 0, 0), (0, 0, 0))","(1, 1)",0.139976743386728
"((-1, 1, -1), (1, 1, 0), (0, 0, 0))","(2, 1)",-0.1
"((0, 1, -1), (0, 1, 0), (0, 0, 0))","(0, 0)",-0.3291207955426801
"((1, 0, 1), (-1, -1, 1), (1, -1, -1))","(0, 1)",0.9966186080864774
"((0, 0, 1), (-1, 0, 1), (1, -1, -1))","(0, 0)",0.07731621000000002
